verb,noun,role,score
revive,water,AM-MNR,4.8
revive,scream,AM-MNR,4
revive,silence,AM-MNR,1.1
revive,oxygen,AM-MNR,6
revive,respirator,AM-MNR,5.6
watch,telescope,AM-MNR,5.3
watch,mirror,AM-MNR,4.8
watch,binoculars,AM-MNR,6.1
watch,kaleidoscope,AM-MNR,2.7
watch,glasses,AM-MNR,6.2
watch,light,AM-MNR,5
watch,radar,AM-MNR,3.8
dig,shovel,AM-MNR,6.9
dig,fork,AM-MNR,2.5
dig,spoon,AM-MNR,3
dig,cup,AM-MNR,1.9
dig,hoe,AM-MNR,4.4
dig,pickaxe,AM-MNR,4
dig,spade,AM-MNR,5.6
stab,scissors,AM-MNR,4
stab,fork,AM-MNR,4.3
stab,toothpick,AM-MNR,3
stab,knife,AM-MNR,6.8
stab,dagger,AM-MNR,5.9
stab,razor,AM-MNR,2.5
stab,hatchet,AM-MNR,3.2
stab,nail,AM-MNR,2.2
repair,hammer,AM-MNR,6.7
repair,shoe,AM-MNR,1.5
repair,string,AM-MNR,3
repair,elastic,AM-MNR,2.7
repair,glue,AM-MNR,5.6
repair,saw,AM-MNR,4.4
repair,screwdriver,AM-MNR,6.2
repair,wrench,AM-MNR,5.8
repair,tape,AM-MNR,5.8
wrap,bandage,AM-MNR,5.4
wrap,blanket,AM-MNR,5.2
wrap,tinfoil,AM-MNR,5.9
wrap,curtain,AM-MNR,1.6
wrap,tape,AM-MNR,5.6
wrap,ribbon,AM-MNR,5.3
wrap,scissors,AM-MNR,4.4
call,radio,AM-MNR,2.5
call,megaphone,AM-MNR,3.4
call,telephone,AM-MNR,6.9
call,can,AM-MNR,1.4
call,voice,AM-MNR,6.8
call,paper,AM-MNR,2.5
call,note,AM-MNR,2.7
call,computer,AM-MNR,4.8
attract,beauty,AM-MNR,6.8
attract,scent,AM-MNR,5.6
attract,humour,AM-MNR,6
attract,force,AM-MNR,1.8
attract,intelligence,AM-MNR,5.9
attract,money,AM-MNR,4.8
wash,water,AM-MNR,7
wash,soap,AM-MNR,6.5
wash,detergent,AM-MNR,6.3
wash,paper,AM-MNR,1.5
wash,vinegar,AM-MNR,2.8
wash,bleach,AM-MNR,4.8
time,sundial,AM-MNR,2.3
time,stopwatch,AM-MNR,6.5
time,clock,AM-MNR,6.6
time,hourglass,AM-MNR,2.7
time,sun,AM-MNR,2.4
time,watch,AM-MNR,6.8
inflate,air,AM-MNR,6.6
inflate,water,AM-MNR,2.8
inflate,helium,AM-MNR,6
inflate,smoke,AM-MNR,1.9
inflate,pump,AM-MNR,5.8
inflate,lungs,AM-MNR,5.7
inflate,generator,AM-MNR,3.5
signal,password,AM-MNR,3.5
signal,flag,AM-MNR,4.6
signal,light,AM-MNR,4.7
signal,nod,AM-MNR,5.9
signal,cough,AM-MNR,4
signal,hand,AM-MNR,6.5
vandalize,knife,AM-MNR,4.3
vandalize,paint,AM-MNR,6
vandalize,pen,AM-MNR,5.1
vandalize,eggs,AM-MNR,5.1
vandalize,keys,AM-MNR,4.7
vandalize,mallet,AM-MNR,2.9
fish,rod,AM-MNR,6.4
fish,stick,AM-MNR,2.8
fish,net,AM-MNR,5.9
fish,harpoon,AM-MNR,4.1
fish,yarn,AM-MNR,1.7
fish,line,AM-MNR,6.7
fish,lure,AM-MNR,5.9
fish,bait,AM-MNR,6.4
fish,pole,AM-MNR,6.3
teach,textbook,AM-MNR,6.2
teach,chalk,AM-MNR,6.1
teach,overhead,AM-MNR,5.8
teach,spoon,AM-MNR,1.1
teach,cartoon,AM-MNR,2.5
teach,graph,AM-MNR,4.6
teach,dice,AM-MNR,1.4
stir,spoon,AM-MNR,6.9
stir,scissors,AM-MNR,1.4
stir,fork,AM-MNR,4.1
stir,straw,AM-MNR,3.9
stir,stick,AM-MNR,2.8
heat,furnace,AM-MNR,6.7
heat,microwave,AM-MNR,6.3
heat,fire,AM-MNR,6.1
heat,oven,AM-MNR,6.3
heat,stove,AM-MNR,6.3
heat,blanket,AM-MNR,5.9
gamble,dice,AM-MNR,6.2
gamble,cards,AM-MNR,6.6
gamble,money,AM-MNR,6.9
gamble,binoculars,AM-MNR,1.6
gamble,newspaper,AM-MNR,2.8
gamble,wheel,AM-MNR,4.2
drink,spoon,AM-MNR,2.1
drink,straw,AM-MNR,5
drink,licorice,AM-MNR,2.2
drink,glass,AM-MNR,6.8
drink,cup,AM-MNR,6.6
drink,bottle,AM-MNR,6.4
drink,mug,AM-MNR,6.4
drink,hands,AM-MNR,5.2
slap,hand,AM-MNR,6.8
slap,towel,AM-MNR,3
slap,glove,AM-MNR,3.1
slap,paper,AM-MNR,1.4
slap,stick,AM-MNR,1.5
lock,key,AM-MNR,6.7
lock,deadbolt,AM-MNR,6.1
lock,glue,AM-MNR,1.6
lock,tape,AM-MNR,1.6
lock,rope,AM-MNR,2.2
lock,bar,AM-MNR,3.1
lock,padlock,AM-MNR,5.6
lock,latch,AM-MNR,5.3
sterilize,water,AM-MNR,5.3
sterilize,heat,AM-MNR,6.6
sterilize,air,AM-MNR,2.8
sterilize,alcohol,AM-MNR,5.4
sterilize,pressure,AM-MNR,2.9
sterilize,chemical,AM-MNR,5.6
sterilize,salt,AM-MNR,2.5
sterilize,butter,AM-MNR,1
